sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
88037.20,912.33,22651.50,15318.60,511.26,190.76,245.94,3291.61,14989.94
94379.43,1190.40,21880.43,13693.54,425.09,136.13,164.00,1391.76,15363.55
20170.09,227.19,2977.54,2237.75,84.37,27.94,43.64,383.76,6406.22
16107.22,179.88,3677.61,1964.13,66.17,8.59,21.24,255.30,21901.69
89953.26,753.69,18564.06,15561.74,505.27,189.66,179.53,470.80,6532.21
16440.95,208.35,3681.74,2655.44,78.55,27.39,135.00,2483.97,22080.81
62753.95,211.56,3673.48,2613.28,92.39,32.36,35.83,331.87,6475.32
14823.53,200.77,3744.51,2515.66,75.33,31.36,44.29,647.03,7188.35
19974.25,273.98,4949.08,3389.44,114.39,40.76,170.37,2934.65,21863.40
70988.19,267.97,4867.00,3567.20,115.32,37.78,55.77,798.18,7117.30
22551.46,299.30,5446.42,3667.62,129.37,49.72,55.08,533.61,7116.48
24460.17,324.75,5133.36,4133.90,37.66,44.53,72.31,1190.56,22302.48
35948.51,366.17,6476.07,12418.63,406.79,144.17,56.45,184.64,5984.32
743.92,169.18,2542.43,2153.14,58.76,24.56,41.97,468.31,6513.36
14404.60,182.32,3381.63,2520.31,75.35,28.38,36.92,456.09,6503.97
14918.24,205.34,3906.78,5705.19,432.28,154.26,216.97,2708.65,22184.35
76241.51,777.26,15805.35,9141.80,364.75,126.69,182.34,3276.60,22166.08
58978.91,1042.71,17672.98,13685.70,444.66,167.70,230.46,3011.27,21828.93
72161.61,1039.83,16184.39,13637.09,487.54,137.68,247.72,3553.79,21758.38
100689.02,1326.86,23777.88,16027.72,555.44,182.18,253.53,3531.72,21771.41
101958.01,1346.00,24137.49,16540.83,574.66,213.93,261.81,4361.07,21743.39
102507.41,1360.88,24482.71,16768.82,553.18,209.25,263.40,4443.17,21759.91
99362.97,1356.74,23973.25,16657.57,551.15,214.11,257.69,4133.50,21497.26
103794.94,1380.65,24567.66,16695.58,563.69,207.97,266.73,4034.03,21462.63
101418.01,1387.10,24557.97,16546.29,574.53,215.80,263.88,3672.38,21431.88
102041.30,1338.98,24607.65,16908.52,576.05,199.06,265.61,4445.71,21412.93
103104.14,1318.33,24425.54,16920.86,544.92,209.69,263.05,4410.99,21400.90
104138.18,1349.42,24413.90,16531.96,556.06,201.46,263.35,4021.55,22846.64
101517.63,1373.15,24517.65,16797.80,562.35,205.52,263.46,4069.53,22863.27
102388.47,1368.87,24413.40,16710.99,574.54,209.32,217.03,3367.04,22921.94
101155.94,1387.47,24459.47,16939.20,567.27,216.40,261.48,4362.87,22876.02
100898.07,1355.74,24266.30,16723.35,572.75,199.54,255.32,3750.06,22895.68
101390.51,1346.91,24541.51,16554.11,569.15,206.50,259.48,4247.66,22885.70
102733.57,1375.77,24400.14,16541.32,530.25,188.34,262.05,4480.10,22909.84
101721.50,1319.49,22943.63,15112.43,466.88,188.28,260.89,4153.62,22877.23
102011.54,1369.65,24543.89,15592.90,557.54,193.88,261.46,4480.25,22835.35
87983.97,1029.66,19352.66,14830.40,534.38,156.11,224.88,3658.98,22790.26
86717.00,1139.56,21528.58,16895.48,569.04,170.56,247.52,3993.80,22829.07
103633.40,1339.52,23465.35,16561.06,565.40,191.18,238.72,4176.11,22749.14
102919.49,1269.73,24203.17,16415.59,572.36,205.31,244.52,3733.93,22772.83
102750.20,1358.16,18171.37,15153.44,558.46,197.00,263.86,3973.28,22718.55
98032.48,1151.95,20988.20,14475.80,506.79,170.25,241.89,3275.79,22653.02
98418.66,948.11,19933.91,15321.98,460.58,178.59,246.14,3920.56,22665.48
90649.21,1061.10,21126.41,13549.45,387.07,149.50,252.94,4153.73,22632.63
102797.68,1331.54,23712.01,16731.65,533.21,175.18,256.17,4233.42,22664.54
101956.94,1354.94,24354.93,16731.51,564.20,208.42,267.21,4452.52,22588.80
102418.84,1348.59,24398.72,16703.81,549.29,211.54,261.68,4356.44,22613.55
102491.04,1331.66,24181.43,16904.14,568.18,201.47,264.36,3530.77,22611.25
100423.94,1046.83,24171.63,16420.34,566.52,206.28,261.82,4490.85,22578.27
102394.58,1364.92,24055.36,16794.23,568.13,200.79,265.62,4421.43,22574.00
98181.94,1265.30,20824.48,15824.48,538.35,181.81,247.25,4113.58,22574.13
100445.64,1211.46,22236.39,15370.53,519.96,179.77,226.77,3637.54,22525.97
92399.79,1202.41,22139.69,16418.53,529.42,210.55,266.91,4132.27,22485.89
99867.58,1373.43,24278.53,16774.05,572.31,208.78,261.56,4242.36,22510.33
102164.14,1380.10,24648.13,16869.01,570.65,206.43,261.95,4431.54,22462.09
103299.41,1305.01,24036.13,16635.70,560.13,206.44,266.91,4084.28,22443.47
88988.89,899.61,14462.59,13468.68,448.37,136.27,209.12,2392.85,7921.39
26478.30,307.38,5896.61,4508.79,134.08,39.13,62.91,797.52,7935.06
27644.73,339.39,6080.70,4473.37,143.92,42.77,64.55,885.37,7942.57
28102.12,339.13,6399.14,4620.15,149.42,45.78,68.46,959.70,7910.50
29119.04,342.29,6654.40,4832.31,158.34,17.90,27.23,574.28,7173.00
28020.53,354.37,6572.20,4591.16,140.15,44.89,58.15,824.06,7918.60
27177.11,289.98,5777.25,4992.31,151.74,44.36,60.56,3501.64,24332.47
85786.08,1193.77,15155.08,8798.30,272.63,186.46,234.66,3564.31,24313.28
81265.05,1361.71,23478.26,15439.88,483.57,171.66,262.26,4300.01,24293.29
86575.22,1285.90,23002.32,14969.95,497.52,178.11,247.21,3945.82,24241.89
101811.02,1369.03,23982.79,16752.38,553.81,214.70,254.21,4233.63,24143.27
103019.67,1255.48,24371.69,16635.85,572.43,204.12,267.12,4116.22,24128.64
103150.03,1357.25,24268.20,16672.77,556.67,205.47,261.85,4180.11,24153.96
103529.49,1330.29,24139.47,16881.07,570.76,207.14,263.09,4391.18,24306.13
102900.99,1354.05,23850.15,16637.79,570.21,198.06,261.65,4296.97,24253.13
103430.44,1350.72,24404.33,16750.22,562.31,200.11,264.28,4799.34,24459.28
101905.02,1362.76,23753.02,16652.99,569.39,210.17,262.04,4313.32,24420.55
102720.16,1385.42,24213.06,16940.35,568.46,204.57,261.78,4473.28,24748.42
103896.81,1368.29,24201.97,16871.69,557.82,201.72,261.85,4334.82,24839.32
103456.12,1377.41,24702.78,16601.87,565.85,202.48,262.01,4361.49,24828.84
104401.38,1322.99,24836.24,16654.96,566.56,206.60,263.33,4398.79,24890.71
104002.89,1318.30,24674.48,16867.39,557.72,205.47,263.44,4342.79,25073.50
100264.05,1239.88,21469.60,15730.56,511.78,185.94,246.35,4267.55,25794.40
103829.65,1378.44,24618.89,16727.07,551.39,212.16,262.82,4336.45,25746.32
102845.05,1374.80,24086.48,16875.39,566.88,209.86,262.31,4256.43,25737.41
100348.89,1363.90,24615.93,16701.57,581.67,204.46,263.37,3662.51,25732.06
102143.61,1376.02,24605.79,16748.30,576.88,195.58,266.82,4389.73,25709.70
102401.61,1389.85,24264.31,17003.50,571.91,204.29,267.25,4195.78,25694.41
102721.11,1366.82,24655.33,16901.41,576.13,203.67,265.55,4378.95,25675.48
102410.82,1368.96,24653.95,16948.29,569.93,214.55,263.25,4279.94,25661.11
104469.46,1365.16,24490.62,16651.15,567.20,203.77,263.24,4269.24,25620.51
103401.18,1364.72,23796.91,15204.34,562.53,173.65,232.42,3891.43,25617.02
97732.84,1168.36,22178.53,16097.43,529.27,200.98,268.15,4033.91,25613.97
86995.85,1266.31,21286.65,15796.61,544.92,180.78,231.68,3816.97,25611.83
102755.69,1372.54,24458.23,16755.68,572.31,214.25,268.15,4394.23,25587.64
104657.53,1356.03,23876.98,16608.76,565.49,204.63,261.19,4126.93,23320.66
103806.62,1380.89,24266.97,16734.65,571.39,217.62,263.05,4374.62,23314.45
103661.81,1351.29,24597.42,16862.70,567.64,202.86,238.87,3985.40,23354.32
104367.83,1379.46,24300.12,17029.29,565.45,205.88,260.93,4410.18,24279.38
102023.49,1365.75,24213.11,16940.78,562.19,207.13,263.11,4184.19,24328.55
92910.47,1267.51,22590.65,16584.41,504.96,198.11,246.32,4015.21,24408.20
91388.36,1191.29,20195.67,14775.50,517.61,171.32,256.25,3687.54,24628.22
100862.40,1363.43,24566.67,16840.51,553.90,208.80,265.25,4055.85,25251.40
103814.79,1331.51,24504.44,16753.46,563.72,212.20,266.44,4430.33,25215.97
